,sst,chl,kd_490,par,Zeu,ID,lat,lon,depth,temp,NO3,Si4,PO4,alpha,PBmax,Ek,month,longhurst,basin,biome,daylength,E_surf,Ez,PB,date
63,13.254998343331474,1.344829335808754,0.1405127625912428,28.25516478220622,36.0665518429071,5,46.9668,-60.2281,10.0,11.3,0.6855,2.7425,0.383,0.03005025,4.31,143.42642740077,10,15.0,2.0,1.0,11.054948871114913,737.4776173976373,,,1998-10-08
64,13.254998343331474,1.4367789179086685,0.1358193438500166,28.25516478220622,36.657466166692345,5,46.97,-60.23,1.0,11.3,0.636,2.259,0.422,0.01794625,2.54,141.533746604444,10,15.0,2.0,1.0,11.054842509076444,737.4847128965237,,,1998-10-08
65,16.93428475516183,0.31387999653816223,0.052736375480890274,26.851997668926533,87.65496192116578,5,43.4733,-57.53,40.0,10.8,0.498,2.421,0.4125,0.02971325,1.77,59.5693840290106,10,15.0,2.0,1.0,11.064396652329558,822.7088318801077,,,1998-10-10
66,16.93428475516183,0.31387999653816223,0.052736375480890274,26.851997668926533,87.65496192116578,5,43.47,-57.53,1.0,15.1,0.112,0.648,0.232,0.0444755,7.5,168.63216827242,10,15.0,2.0,1.0,11.064505116156619,822.7007669781959,,,1998-10-10
67,18.610709054129465,0.23819857835769653,0.04715357907116413,27.744831720987957,97.65911196165024,5,41.9393,-60.764,60.0,16.9,3.2335,2.281,0.392,0.05201025,1.42,27.3023106022371,10,15.0,2.0,1.0,11.066634002112805,219.6793356924238,,,1998-10-11
68,18.610709054129465,0.23819857835769653,0.04715357907116413,27.744831720987957,97.65911196165024,5,41.94,-60.76,1.0,16.4,0.2355,1.589,0.3805,0.0403455,5.81,144.006146906099,10,15.0,2.0,1.0,11.066610949822177,219.67979329519974,,,1998-10-11
69,15.972141810825892,0.5366077125072479,0.07147315889596939,25.934179826216265,65.27529504969783,5,42.85,-61.7497,30.0,9.9,1.4875,2.11,0.5235,0.026211,1.69,64.4767464041814,10,15.0,2.0,1.0,10.98788912612022,,,,1998-10-12
70,15.972141810825892,0.5366077125072479,0.07147315889596939,25.934179826216265,65.27529504969783,5,42.85,-61.75,1.0,15.1,0.043,0.684,0.2425,0.028303,3.38,119.421969402537,10,15.0,2.0,1.0,10.98788912612022,,,,1998-10-12
71,15.689287458147321,0.4949725766976674,0.06967365245024364,21.713087948885832,68.16906135178475,5,43.184,-62.1025,20.0,13.5,0.3585,1.164,0.3205,0.035372,4.79,135.417844622866,10,15.0,2.0,1.0,10.927208256458716,214.2967935488468,,,1998-10-13
72,15.689287458147321,0.4949725766976674,0.06967365245024364,21.713087948885832,68.16906135178475,5,43.18,-62.1,1.0,13.5,0.377,1.1815,0.3,0.02581375,3.68,142.559682339838,10,15.0,2.0,1.0,10.927359332240716,214.29383079685147,,,1998-10-13
73,14.579289027622767,0.5603687763214111,0.07346556335687637,20.65599788318981,62.61437045891025,5,43.8494,-62.9236,20.0,12.9,0.168,0.75,0.245,0.0454985,3.89,85.4973240876073,10,15.0,2.0,1.0,10.852098380320633,333.72957372788443,,,1998-10-14
74,14.579289027622767,0.5603687763214111,0.07346556335687637,20.65599788318981,62.61437045891025,5,43.85,-62.92,1.0,12.9,0.145,0.684,0.244,0.01978125,3.05,154.186413902054,10,15.0,2.0,1.0,10.852074136337693,333.73031929356983,,,1998-10-14
75,14.017857142857142,0.597243458032608,0.07774602808058262,22.517634651877664,59.5520546759671,5,41.8658,-65.3542,20.0,13.8,0.0,0.9145,0.184,0.0310245,3.27,105.40057051685,10,15.0,2.0,1.0,10.791949943530659,321.0210793084275,,,1998-10-17
76,11.407141549246651,1.075746973355611,0.1159163514773051,22.405270663174715,41.2282566490004,5,42.9972,-65.4777,20.0,11.7,0.1235,1.4175,0.374,0.03418725,5.93,173.456478657979,10,15.0,2.0,1.0,10.695288634557084,788.7688778360672,122.36603380520988,3.604372227579166,1998-10-18
77,11.272855486188616,1.1036877433458965,0.11548151075839996,22.576726046475496,40.94551060698257,5,43.0,-65.48,1.0,11.7,0.081,1.4725,0.3825,0.04936675,6.47,131.059873295285,10,15.0,2.0,1.0,10.69515953822152,787.6356512611144,717.4027337287234,6.469772282372306,1998-10-18
78,13.809999738420759,0.4701957404613495,0.06836020201444626,24.450767223651592,67.95837837345978,5,42.62,-64.07,1.0,13.3,0.046,1.244,0.3055,0.033834,4.15,122.657681622037,10,15.0,2.0,1.0,10.66609011158361,787.6987846048389,,,1998-10-19
79,13.355708530970983,0.7815921008586884,0.09693676978349686,20.42215171227088,48.10349389591191,5,43.9755,-63.1657,20.0,13.0,0.0,1.4785,0.2485,0.042733,4.17,97.5826644513608,10,15.0,2.0,1.0,10.552065898522416,753.6175229508455,101.59008812523595,3.2455487393737936,1998-10-20
80,13.355708530970983,0.8172218352556229,0.09769371151924133,20.596151792086086,47.978835054719084,5,43.98,-63.17,1.0,12.4,0.0,1.12,0.2615,0.0293855,3.27,111.279372479624,10,15.0,2.0,1.0,10.551835528978492,754.581659998253,679.3366997071528,3.269967414358769,1998-10-20
81,25.657139369419642,0.19125252962112427,0.04253409951925278,45.450598526000974,109.45280099999661,5,24.63,-85.01,10.0,25.2,,,,0.003752,1.0,266.524520255864,3,17.0,2.0,3.0,11.925992043697645,,,,1999-03-20
82,25.657139369419642,0.19125252962112427,0.04253409951925278,45.450598526000974,109.45280099999661,5,24.63,-85.01,50.0,25.2,,,,0.00280675,0.67,238.710252070901,3,17.0,2.0,3.0,11.925992043697645,,,,1999-03-20
83,25.897859845842635,0.13999182979265848,0.0369964177823729,51.155599212646486,126.11560578434137,5,23.25,-84.05,10.0,25.2,,,,0.00809975,3.52,434.581314238094,3,17.0,2.0,3.0,11.953757349665949,1236.9425404446358,880.7513158794137,3.399841052928423,1999-03-21
84,25.897859845842635,0.13999182979265848,0.0369964177823729,51.155599212646486,126.11560578434137,5,23.25,-84.05,50.0,24.2,,,,0.00893925,0.95,106.272897614453,3,17.0,2.0,3.0,11.953757349665949,1236.9425404446358,226.39581790224864,0.9235582403090075,1999-03-21
85,25.930709838867188,0.24973991016546884,0.047294437885284424,51.89444435967339,108.18259383043954,5,21.86,-85.03,2.0,26.3,,,,0.00992725,6.31,635.62416580624,3,17.0,2.0,3.0,11.978407574616543,,,,1999-03-22
86,25.930709838867188,0.24973991016546884,0.047294437885284424,51.89444435967339,108.18259383043954,5,21.86,-85.03,12.0,25.8,,,,0.007949,2.87,361.051704616933,3,17.0,2.0,3.0,11.978407574616543,,,,1999-03-22
87,26.206427437918528,0.0921156903107961,0.03298722176502148,47.18688837687174,140.45947913569617,5,21.77,-85.71,10.0,25.7,,,,0.00669075,1.92,286.963344916489,3,17.0,2.0,3.0,12.0,1069.9074356644242,,,1999-03-23
88,26.206427437918528,0.0921156903107961,0.03298722176502148,47.18688837687174,140.45947913569617,5,21.77,-85.71,50.0,25.7,,,,0.00682175,1.69,247.737017627442,3,17.0,2.0,3.0,12.0,1069.9074356644242,,,1999-03-23
89,23.88857160295759,0.8951487030301776,0.09754381328821182,50.176444159613716,49.09252410544741,5,21.84,-87.03,5.0,24.1,,,,0.0222125,8.4,378.16544738323,3,17.0,2.0,3.0,12.02157061735397,1256.7224694918261,802.9799666004644,8.162964031042417,1999-03-24
90,23.88857160295759,0.8951487030301776,0.09754381328821182,50.176444159613716,49.09252410544741,5,21.84,-87.03,15.0,22.7,,,,0.0135875,3.41,250.965961361546,3,17.0,2.0,3.0,12.02157061735397,1256.7224694918261,327.81994316451573,2.9439180250395975,1999-03-24
91,24.426426478794642,0.4597531755765279,0.0613896989574035,49.93488862779405,77.41088012682506,5,21.88,-86.91,5.0,24.8,,,,0.0107695,6.21,576.628441431821,3,17.0,2.0,3.0,12.021614239521996,1256.3482316246361,869.8069542112169,5.6303651961025345,1999-03-24
92,24.426426478794642,0.4597531755765279,0.0613896989574035,49.93488862779405,77.41088012682506,5,21.88,-86.91,20.0,24.4,,,,0.010912,2.4,219.941348973607,3,17.0,2.0,3.0,12.021614239521996,1256.3482316246361,288.64324870579856,2.0756940262914614,1999-03-24
93,25.497855050223215,0.3445303961634636,0.05243567796424031,51.80139846801758,88.36167573838412,5,22.08,-86.57,10.0,24.8,,,,0.01063,3.61,339.604891815616,3,17.0,2.0,3.0,12.043661312293645,1251.0038004713663,786.3961531027936,3.5403367360185745,1999-03-25
94,25.497855050223215,0.3445303961634636,0.05243567796424031,51.80139846801758,88.36167573838412,5,22.08,-86.57,45.0,24.6,,,,0.0110155,4.5,408.515273932187,3,17.0,2.0,3.0,12.043661312293645,1251.0038004713663,154.87488961992239,1.6287298687469365,1999-03-25
95,24.949286324637278,0.3129534174998601,0.0494080459078153,49.05879898071289,93.50865131006464,5,22.08,-86.72,10.0,25.3,,,,0.012039,6.49,539.081319046432,3,17.0,2.0,3.0,12.043661312293645,1252.3876859613526,791.7795773623845,5.836717342603566,1999-03-25
96,24.949286324637278,0.3129534174998601,0.0494080459078153,49.05879898071289,93.50865131006464,5,22.08,-86.72,30.0,22.5,,,,0.01747925,3.65,208.819028276385,3,17.0,2.0,3.0,12.043661312293645,1252.3876859613526,316.47201292599226,3.3138931666720417,1999-03-25
97,26.306427001953125,0.11869177371263503,0.03528114594519138,47.07111061943902,132.47723579089262,5,22.3,-86.1,10.0,26.3,,,,0.007326,2.29,312.585312585313,3,17.0,2.0,3.0,12.066204614792975,1233.1042887973053,,,1999-03-26
98,26.306427001953125,0.11869177371263503,0.03528114594519138,47.07111061943902,132.47723579089262,5,22.3,-86.1,50.0,26.1,,,,0.01037575,2.73,263.113509866757,3,17.0,2.0,3.0,12.066204614792975,1233.1042887973053,,,1999-03-26
99,20.089998517717635,0.569559782743454,0.08648406714200974,50.43577745225694,53.195303343019994,5,26.67,-82.44,5.0,19.8,,,,0.01740325,5.92,340.166348239553,3,17.0,2.0,3.0,12.135070386875748,1237.093925917376,806.5868663855696,5.8176651999313815,1999-03-28
100,19.762854439871653,0.45528166741132736,0.07195436209440231,48.895599365234375,64.44327325276161,5,26.99,-82.64,5.0,20.5,,,,0.01338825,5.59,417.530297088865,3,17.0,2.0,3.0,12.136956681749426,1234.8876680390233,902.0810235411493,5.443408409421974,1999-03-28
101,1.4549974714006697,0.7699457883834839,0.08742432147264481,37.44339866638184,56.57796134776478,5,43.255,-65.04,20.0,2.0,0.452,0.6135,0.274,0.0107515,1.29,119.983258150026,4,15.0,2.0,1.0,12.854400100261596,1066.0854400264657,270.28842820136737,1.2618056732036123,1999-04-09
102,8.13214111328125,0.8067187666893005,0.09153533726930618,37.743598556518556,51.97045699539759,5,41.991,-65.487,30.0,10.4,4.861,2.6305,0.2835,0.01281125,2.29,178.749146258172,4,15.0,2.0,1.0,12.86448935811179,326.0913942397396,,,1999-04-10
103,8.13214111328125,0.8067187666893005,0.09153533726930618,37.743598556518556,51.97045699539759,5,41.991,-65.487,1.0,9.5,3.8185,1.677,0.2925,0.01254,1.86,148.325358851675,4,15.0,2.0,1.0,12.86448935811179,326.0913942397396,,,1999-04-10
